NumberOfLogins,TimeSpentOnPlatform,NumberOfTests,TimeSpentForTests,AverageTimePerTest,NumberOfConcepts,NumberOfActions,NumberOfRevisions,LastGrade,MeanTestsGrade,MeanTestsGradeD,ExamGradeD,label
7,150,4,19,3.8,10,57,11,10,9.77,10,7,1
7,144,7,47,5.88,11,54,10,3.7,5.8,6,6,1
2,32,4,23,4.6,11,21,1,9.1,9.77,10,6,1
10,350,6,52,7.43,11,101,13,7.3,7.15,7,9,1
4,93,4,13,2.6,11,35,5,5.5,5.28,5,4,0
3,47,5,32,5.33,11,41,6,5.5,5.81,6,7,1
7,133,4,20,4,10,49,6,10,9.55,10,7,1
10,326,6,46,6.57,11,81,10,8.2,7.26,7,9,1
9,291,7,51,6.38,11,64,13,3.7,3.87,4,4,0
4,154,5,22,3.67,11,38,6,8.2,5.5,6,5,1
2,28,3,12,3,0,16,1,3.7,3.79,4,6,1
8,311,5,37,6.17,11,62,13,8.2,5.32,5,6,1
5,163,4,19,3.8,11,46,5,4.6,6.36,6,7,1
8,185,7,56,7,11,66,12,5.5,6.05,6,10,1
9,306,8,56,6.22,11,72,11,9.1,5.44,5,6,1
6,163,4,26,5.2,8,38,4,7.3,8.2,8,6,1
10,344,7,41,5.13,11,93,17,6.22,4.66,5,6,1
2,46,4,37,7.4,11,33,5,7.3,6.63,7,6,1
9,143,6,36,5.14,10,59,9,6.4,5.84,6,10,1
4,208,2,15,5,0,22,2,4.6,4.15,4,8,1
1,10,1,2,1,0,5,0,4.6,4.6,5,4,0
4,91,2,5,2.5,0,26,3,4.6,4.6,5,4,0
6,178,7,38,5.43,11,56,9,7.3,6.8,7,9,1
11,196,19,77,3.85,11,149,21,9.1,5.94,6,7,1
7,276,6,39,5.57,11,83,11,7.3,6.45,6,6,1
7,139,11,26,2.17,10,84,9,4.6,5.45,5,6,1
3,159,4,26,5.2,11,32,3,9.1,8.42,8,7,1
3,92,4,9,1.8,10,33,4,10,9.77,10,7,1
11,302,8,41,5.13,10,92,21,6.4,7.61,8,8,1
14,602,6,49,7,11,104,18,7.3,8.5,8,6,1
11,252,8,24,2.67,11,101,27,9.1,8.76,9,10,1
4,73,5,26,5.2,11,42,8,7.3,7.75,8,7,1
7,79,16,14,2.33,11,82,10,10,7.84,8,5,1
8,229,6,25,3.57,11,58,9,10,9.7,10,6,1
9,296,5,40,6.67,11,54,5,5.5,5.37,5,7,1
3,49,5,37,6.17,10,33,6,9.1,7.84,8,6,1
2,18,4,3,0.6,10,19,0,5.5,4.38,4,4,0
7,183,4,15,3,0,54,9,8.2,6.69,7,10,1
1,34,4,19,3.8,11,15,0,8.2,8.69,9,6,1
15,603,8,57,6.33,11,121,29,9.1,8.37,8,9,1
4,182,5,26,4.33,11,37,6,9.28,8.78,9,4,0
15,505,7,22,4.4,11,98,12,5.5,7.37,7,5,1
17,500,9,30,3.75,11,164,43,8.2,5.76,6,5,1
24,521,23,32,2.91,11,230,43,9.1,8.04,8,10,1
8,309,4,14,2.8,11,44,5,10,9.62,10,7,1
7,181,5,39,6.5,11,49,8,7.75,7.03,7,6,1
1,13,1,7,3.5,0,10,1,8.2,8.2,8,10,1
12,503,8,25,2.78,11,81,12,3.97,9.13,9,7,1
11,152,9,33,6.6,11,83,14,6.4,5.61,6,6,1
20,560,15,29,2.64,11,135,21,8.2,7.79,8,7,1
1,31,6,16,2.29,11,25,2,10,9.55,10,6,1
4,94,4,12,2.4,10,35,3,4.6,4.82,5,7,1
9,314,6,41,5.86,11,99,10,5.5,6.3,6,9,1
6,197,4,28,5.6,11,49,15,9.28,9.64,10,6,1
10,375,11,38,3.17,11,117,22,10,8.8,9,7,1
8,293,7,37,5.29,11,52,4,4.6,4.68,5,9,1
17,948,6,37,5.29,11,129,28,9.1,8.35,8,8,1
3,30,2,9,4.5,0,19,1,4.6,4.6,5,6,1
4,114,7,27,3.38,11,56,12,7.3,5.81,6,6,1
11,217,8,32,4,10,110,16,7.03,7.93,8,7,1
16,865,11,64,6.4,11,143,28,7.3,7,7,10,1
18,576,6,48,6.86,11,89,14,9.1,7.64,8,7,1
13,316,15,84,5.25,11,133,22,9.1,6.88,7,9,1
4,56,4,13,2.6,10,33,4,9.1,9.55,10,6,1
7,45,5,16,2.67,10,54,5,1.9,6.35,6,7,1
10,205,8,30,3.33,9,78,11,4.6,5.31,5,8,1
13,458,12,58,4.83,11,155,27,10,7.8,8,7,1
8,170,6,26,3.71,11,52,7,9.1,7.9,8,6,1
11,326,14,78,5.57,11,122,23,7.75,5.9,6,10,1
13,292,18,52,2.89,11,147,23,10,6.29,6,8,1
15,399,4,27,5.4,11,94,13,8.2,8.65,9,8,1
4,196,5,36,6,11,39,1,4.78,5.23,5,7,1
6,157,5,22,3.67,10,52,7,10,8.96,9,5,1
5,141,5,18,3.6,10,47,8,6.4,4.89,5,9,1
13,125,8,27,3,11,75,7,9.28,6.58,7,6,1
13,387,7,60,7.5,11,80,14,6.4,6.32,6,6,1
6,77,5,37,6.17,10,43,7,7.75,7.75,8,8,1
10,328,10,24,3,11,115,18,7.03,7.44,7,9,1
10,360,8,60,6.67,11,124,15,9.1,8.19,8,8,1
3,62,1,0,0,0,19,2,1.9,1.9,4,6,1
16,496,9,54,5.4,10,157,34,7.3,6.49,6,7,1
10,166,13,43,3.07,11,94,13,6.67,6.56,7,8,1
4,105,6,20,3.33,10,44,7,8.2,5.91,6,8,1
38,237,8,62,6.89,11,180,30,8.2,6.74,7,9,1
2,11,4,7,1.4,11,20,0,3.07,4.74,5,6,1
10,220,9,53,5.3,11,85,12,6.22,6.45,6,10,1
3,49,5,27,5.4,11,35,6,3.97,6.02,6,5,1
5,120,5,42,7,11,39,6,5.5,5.46,5,4,0
13,468,9,91,9.1,11,134,32,8.2,7.22,7,8,1
6,209,8,38,4.22,11,77,8,1.9,5.13,5,6,1
18,263,11,61,5.55,10,169,35,6.4,6.01,6,6,1
16,210,15,85,5.67,11,166,34,8.2,6.6,7,4,0
30,157,8,39,4.33,11,176,30,5.5,6.66,7,10,1
3,103,4,28,5.6,11,26,3,7.3,6.51,7,7,1
14,283,13,56,4.31,11,119,18,5.77,6.72,7,10,1
6,57,8,44,5.5,11,64,8,1.9,4.64,5,4,0
3,14,3,9,3,7,21,1,1.9,1.45,4,4,0
5,216,9,57,7.13,11,65,11,9.1,7.94,8,4,0
9,291,8,35,4.38,11,81,11,4.6,4.7,5,8,1
6,129,5,32,5.33,11,41,6,9.1,9.5,9,4,0
3,41,15,6,0.38,11,54,1,3.25,4.12,4,4,0
11,67,8,54,6,11,75,14,7.3,6.46,6,8,1
6,128,4,32,6.4,11,39,4,8.2,7.75,8,4,0
15,153,7,30,3.75,11,83,12,3.7,5.2,5,10,1
17,295,9,49,6.13,10,133,27,10,8.46,8,7,1
9,175,6,43,6.14,11,86,20,9.28,5.39,5,6,1
2,12,1,7,3.5,0,10,1,4.6,4.6,5,4,0
11,240,5,48,8,11,71,9,8.2,6.94,7,5,1
2,17,4,8,1.6,11,21,2,3.7,4.38,4,4,0
1,10,1,6,3,0,8,1,4.6,4.6,5,5,1
7,75,17,37,2.06,11,74,2,4.6,3.61,4,7,1
9,268,5,32,5.33,10,60,9,10,8.92,9,4,0
5,111,5,28,5.6,9,36,5,3.07,4.38,4,8,1
3,59,6,48,6.86,11,38,6,6.4,6.16,6,8,1
14,354,7,50,7.14,10,100,15,7.3,6.1,6,7,1
7,196,8,49,5.44,11,58,8,3.25,6.06,6,4,0
3,51,4,34,6.8,11,29,5,6.4,5.72,6,5,1
7,163,8,61,6.78,11,73,16,4.6,5.53,6,8,1
3,51,5,26,4.33,10,33,2,6.4,3.81,4,6,1
6,194,16,49,2.88,11,73,4,2.8,3.98,4,7,1
1,11,1,6,3,0,10,2,5.5,5.5,6,5,1
7,281,6,34,4.86,11,83,10,4.6,6,6,7,1
6,175,4,37,7.4,10,30,0,4.6,7.08,7,5,1
3,71,6,2,0.29,11,43,7,3.7,4.6,5,4,0
1,36,6,27,3.86,11,33,6,6.4,5.05,5,4,0
4,171,6,31,4.43,11,35,4,4.6,3.63,4,5,1
9,168,9,36,3.6,11,72,11,9.1,5.8,6,7,1
3,191,10,49,4.45,11,61,6,7.3,6.4,6,5,1
3,114,4,30,6,10,30,7,7.3,5.84,6,5,1
17,285,12,45,3.46,11,150,21,9.1,8.35,8,10,1
16,439,22,105,4.77,11,175,33,8.2,7.44,7,7,1
3,62,21,35,1.59,11,85,6,3.7,4.15,4,5,1
8,177,6,34,5.67,10,65,13,8.2,7.34,7,7,1
6,225,5,25,4.17,11,46,7,8.2,7.79,8,5,1
11,131,13,56,4,11,142,31,9.1,7.43,7,8,1
11,307,11,70,6.36,11,136,50,7.3,6.07,6,5,1
14,237,10,20,2.86,11,88,7,9.28,6.63,7,4,0
3,107,3,13,3.25,10,22,2,5.5,5.8,6,5,1
15,213,10,61,5.55,11,106,5,10,6.49,6,7,1
10,374,5,24,4.8,11,85,17,3.97,6.02,6,4,0
4,66,5,24,4.8,11,44,9,7.3,4.89,5,5,1
4,82,5,28,5.6,11,41,11,5.5,5.95,6,5,1
18,499,13,58,5.8,11,164,22,9.1,7.51,8,7,1
16,418,8,48,6.86,10,126,20,7.3,6.95,7,8,1
4,149,4,37,7.4,11,38,8,4.6,7.08,7,5,1
5,81,4,19,3.8,10,39,6,9.1,7.98,8,4,0
4,19,4,22,4.4,11,38,6,7.3,6.31,6,4,0
4,26,5,38,7.6,11,37,7,8.2,7.98,8,5,1
3,152,3,7,2.33,11,45,5,2.8,4.15,4,5,1
6,96,9,52,5.2,11,79,12,9.1,6,6,6,1
3,30,3,15,5,10,30,3,4.42,6.09,6,4,0
6,297,12,22,1.69,11,80,13,10,9.53,10,4,0
10,351,14,54,3.6,11,130,22,7.75,5.9,6,5,1
1,18,3,10,2.5,9,19,2,2.8,5.38,5,4,0
4,60,6,28,4,11,45,8,4.42,4.08,4,7,1
6,50,12,44,3.38,11,70,11,10,9.65,10,5,1
3,30,11,12,1,11,58,7,10,9.03,9,5,1
6,236,18,35,1.94,11,104,18,7.75,7.98,8,7,1
9,205,15,29,1.81,11,108,17,10,7.62,8,7,1
5,188,20,36,1.71,11,97,7,10,9.37,9,6,1
8,162,14,52,3.71,11,112,20,4.42,5.58,6,4,0
2,46,11,29,2.42,11,51,7,8.92,7.42,7,9,1
3,94,4,23,4.6,11,33,5,6.67,6.38,6,4,0
5,122,10,36,3.27,11,66,14,10,8.55,9,10,1
8,282,12,44,3.67,11,90,21,10,8.63,9,10,1
10,156,10,66,6,11,82,13,10,7.43,7,4,0
5,34,3,17,4.25,9,41,7,4.6,6.49,6,10,1
3,51,10,26,2.6,10,55,8,10,9.02,9,9,1
3,74,11,41,3.42,11,48,4,6.67,7.84,8,5,1
2,67,10,43,3.91,11,53,10,3.25,5.33,5,9,1
3,63,10,37,3.36,11,56,10,7.75,5.29,5,6,1
7,108,18,58,3.22,11,104,17,6.67,5.99,6,7,1
2,77,2,14,4.67,9,14,0,4.42,3.3,4,5,1
4,79,2,13,4.33,7,18,1,4.42,3.84,4,5,1
9,275,11,51,5.1,11,72,10,8.92,5.38,5,5,1
3,171,10,35,3.18,11,68,13,10,7.14,7,10,1
3,21,4,30,6,10,31,8,3.25,5.23,5,5,1
4,29,3,4,1,8,19,0,1,4.39,4,6,1
4,126,10,34,3.09,11,66,13,10,6.2,6,4,0
3,81,2,14,4.67,8,22,1,5.5,6.63,7,6,1
3,87,2,3,1.5,10,20,1,5.5,5.5,6,7,1
4,73,8,20,2.22,11,44,0,3.25,4.31,4,6,1
4,42,5,24,4,10,43,6,2.17,3.77,4,8,1
5,35,4,20,4,11,36,4,2.17,4.13,4,7,1
6,154,20,66,3.3,11,120,18,8.92,6.35,6,7,1
1,17,2,12,4,8,14,2,5.5,6.09,6,5,1
2,21,2,12,4,8,15,2,6.67,5.55,6,10,1
11,112,12,60,4.62,11,134,22,6.67,6.92,7,5,1
12,222,13,48,3.43,11,121,18,10,9.02,9,6,1
1,19,3,9,2.25,9,24,2,5.5,5.14,5,7,1
2,23,2,8,2.67,7,18,3,7.75,7.21,7,10,1
2,20,2,7,3.5,10,22,4,3.25,3.25,4,7,1
15,227,24,96,3.84,11,169,29,10,9.51,10,7,1
1,60,10,40,3.64,11,55,10,6.67,6.39,6,7,1
2,45,5,30,5,10,41,8,8.92,7.55,8,10,1
10,199,11,39,3.55,11,80,13,3.25,5.25,5,7,1
10,151,10,33,3,11,85,13,8.92,9.56,10,8,1
4,75,11,54,4.91,11,49,0,3.25,5.21,5,7,1
9,112,10,50,4.55,11,83,18,5.5,6.53,7,5,1
1,11,1,5,2.5,4,9,2,4.42,4.42,4,10,1
9,175,10,46,4.6,11,74,15,5.5,6.49,6,4,0
6,290,10,40,3.64,11,75,14,5.5,6.31,6,5,1
2,51,12,44,3.38,11,56,7,5.5,6.08,6,5,1
2,26,6,7,1,11,28,1,2.17,2.9,4,4,0
8,221,11,60,5,11,87,19,10,7.97,8,7,1
3,82,2,5,2.5,8,17,2,2.17,2.17,4,5,1
5,243,10,61,5.55,11,61,8,4.42,6.19,6,5,1
20,680,20,69,3.29,11,157,26,6.67,8.39,8,9,1
2,19,2,9,3,6,17,0,2.17,2.17,4,4,0
5,187,11,37,3.08,11,80,19,8.92,6.95,7,4,0
42,907,28,98,3.38,11,330,72,8.92,8.26,8,6,1
19,467,20,66,3.14,11,171,25,8.92,7.74,8,5,1
14,353,20,107,5.35,11,145,28,10,7.61,8,7,1
10,210,10,44,4,11,106,21,6.67,7.11,7,6,1
7,217,11,33,2.75,11,111,38,10,5.16,5,6,1
2,10,1,3,1.5,5,9,0,3.25,3.25,4,6,1
14,475,11,47,4.27,11,114,23,10,8.69,9,7,1
7,195,6,16,2.29,11,58,9,6.67,4.21,4,5,1
12,228,20,100,4.76,11,142,25,8.92,8.11,8,8,1
10,237,11,56,4.67,10,99,16,8.92,7.5,7,7,1
20,313,22,114,4.96,11,163,26,10,7.17,7,5,1
5,150,18,56,3.11,11,111,21,8.92,6.46,6,6,1
4,130,14,43,2.87,11,71,10,7.75,7.27,7,6,1
7,214,19,99,4.95,11,112,22,10,6.85,7,5,1
3,116,10,27,2.45,11,84,19,3.25,4.51,5,5,1
4,193,1,0,0,6,30,2,3.25,3.25,4,4,0
12,609,20,76,3.62,11,308,27,4.42,5.3,5,4,0
5,57,12,53,4.08,11,101,20,7.75,6.56,7,6,1
1,16,1,3,1.5,0,9,0,4.33,4.33,4,4,0
10,304,10,67,6.09,11,97,10,8.92,5.63,6,5,1
11,187,10,61,5.55,11,89,17,7.3,6.83,7,5,1
6,201,20,39,1.86,11,121,29,5.5,5.55,6,4,0
13,286,20,78,3.71,11,156,22,10,6.94,7,5,1
8,138,14,68,4.86,11,90,15,10,7.72,8,9,1
11,425,12,46,3.83,11,138,20,8.92,8.38,8,8,1
5,112,10,67,6.09,11,73,11,6.67,7.68,8,5,1
6,272,13,37,2.64,11,89,17,2.17,5.36,5,4,0
1,13,2,6,2,8,9,0,5.5,6.63,7,5,1
5,150,3,16,4,8,32,3,6.67,6.43,6,10,1
8,481,20,76,3.62,11,149,25,4.42,6.44,6,7,1
2,47,8,33,3.67,11,30,0,7.75,6.07,6,7,1
2,2,1,0,0,0,17,2,5.5,5.5,6,10,1
10,100,12,60,4.62,11,124,26,6.67,6.6,7,8,1
5,164,11,60,5,11,73,11,10,7.5,7,8,1
15,155,22,122,5.3,11,137,20,4.42,5.49,5,4,0
14,305,15,50,3.13,11,168,45,7.75,6.31,6,9,1
2,69,10,48,4.36,10,50,6,8.11,8.83,9,7,1
3,76,10,58,5.27,11,46,2,7.75,8.43,8,4,0
12,193,11,19,1.58,11,102,19,8.92,5.18,5,6,1
8,260,12,36,2.77,11,81,14,5.5,4.86,5,5,1
3,117,10,54,4.91,11,74,14,8.92,7.65,8,7,1
17,485,12,62,5.64,11,111,17,10,8.7,9,7,1
1,4,1,0,0,0,11,1,1.63,1.63,4,9,1
3,240,10,51,4.64,11,74,15,6.67,7.44,7,6,1
10,169,10,46,4.6,11,122,27,10,8.89,9,6,1
3,81,4,3,0.6,11,25,1,2.53,2.8,4,6,1
2,23,4,12,2.4,10,20,2,5.5,4.4,4,5,1
1,10,1,1,0.5,5,5,0,5.5,5.5,6,4,0
14,379,10,48,4.36,11,86,12,8.92,8.23,8,7,1
12,343,12,65,5.91,11,126,25,8.92,7.3,7,7,1
1,23,2,9,3,9,18,3,3.25,4.38,4,10,1
14,407,14,70,4.67,11,130,23,6.67,7.11,7,10,1
6,132,15,57,3.56,11,76,13,6.4,6.7,7,5,1
6,183,21,69,3.45,11,127,23,8.2,7.57,8,10,1
3,142,10,31,2.82,11,78,16,4.42,5.6,6,7,1
13,234,20,98,4.9,11,135,27,7.03,6.07,6,6,1
18,532,10,43,6.14,10,198,46,10,8.42,8,5,1
1,8,1,0,0,0,11,1,3.7,3.7,4,6,1
8,169,11,55,5,11,77,13,5.5,6.68,7,6,1
15,372,21,91,4.14,11,162,28,10,6.73,7,8,1
9,193,8,41,4.56,10,96,17,5.5,5.75,6,7,1
6,60,6,26,4.33,11,52,8,4.42,5.09,5,5,1
18,383,16,82,5.86,11,132,20,6.67,5.94,6,6,1
3,41,4,19,4.75,11,27,3,4.42,5.14,5,6,1
3,50,4,12,3,11,39,7,4.42,4.78,5,6,1
