,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_none + features_selection_none + oversampling_none,0.9518958687040181,0.9309564233163554,0.8930390492359932,0.9581211092246746,0.955291454442558,0.8754951895868704,0.9524617996604414,
remove_outliers_none + features_selection_none + oversampling_smote,0.9434069043576684,0.9207696661007357,0.8788907753254103,0.9411431805319751,0.9105829088851161,0.878324844368987,0.9490662139219015,
remove_outliers_none + features_selection_none + oversampling_svm_smote,0.9371816638370118,0.9224674589700057,0.8641765704584041,0.9303904923599321,0.9207696661007357,0.8907753254102999,0.9434069043576684,
remove_outliers_none + features_selection_none + oversampling_adasyn,0.9360498019241652,0.9043576683644595,0.8602150537634409,0.9326542161856254,0.8885116015846066,0.8505942275042445,0.9388794567062818,
remove_outliers_none + features_selection_none + oversampling_smote_borderline,0.9185059422750425,0.9173740803621958,0.8777589134125636,0.9360498019241652,0.8913412563667232,0.8404074702886248,0.9298245614035088,
remove_outliers_none + features_selection_extratrees + oversampling_none,0.9422750424448217,0.9524617996604414,0.8981324278438031,0.9490662139219015,0.9575551782682513,0.9366157328805885,0.9258630447085455,0.9575551782682513
remove_outliers_none + features_selection_extratrees + oversampling_smote,0.9298245614035088,0.9162422184493492,0.9043576683644595,0.9179400113186191,0.9281267685342388,0.9388794567062818,0.9122807017543859,0.9162422184493492
remove_outliers_none + features_selection_extratrees + oversampling_svm_smote,0.9151103565365025,0.9252971137521222,0.8805885681946802,0.9139784946236559,0.9037917374080362,0.9320882852292021,0.8981324278438031,0.8970005659309565
remove_outliers_none + features_selection_extratrees + oversampling_adasyn,0.8902093944538766,0.9196378041878891,0.8449349179400113,0.9139784946236559,0.9037917374080362,0.9354838709677419,0.8805885681946802,0.8613469156762875
remove_outliers_none + features_selection_extratrees + oversampling_smote_borderline,0.8941709111488398,0.8879456706281834,0.8573853989813243,0.9066213921901528,0.8743633276740238,0.9252971137521222,0.8851160158460668,0.8460667798528579
remove_outliers_none + features_selection_mutual_information + oversampling_none,0.9535936615732881,0.9700056593095643,0.876627051499717,0.9700056593095643,0.9468024900962083,0.9360498019241652,0.9547255234861347,0.9501980758347481
remove_outliers_none + features_selection_mutual_information + oversampling_smote,0.9451046972269384,0.9609507640067911,0.8653084323712507,0.955291454442558,0.9168081494057725,0.9383135257498585,0.9434069043576684,0.9117147707979627
remove_outliers_none + features_selection_mutual_information + oversampling_svm_smote,0.9286926994906621,0.8941709111488398,0.8432371250707413,0.8964346349745331,0.8964346349745331,0.9332201471420487,0.9258630447085455,0.8924731182795699
remove_outliers_none + features_selection_mutual_information + oversampling_adasyn,0.9269949066213922,0.8919071873231466,0.8641765704584041,0.9054895302773062,0.876627051499717,0.9247311827956989,0.9196378041878891,0.8562535370684776
remove_outliers_none + features_selection_mutual_information + oversampling_smote_borderline,0.9009620826259196,0.8975664968873798,0.853423882286361,0.8868138087153368,0.876627051499717,0.9292586304470855,0.9003961516694963,0.8641765704584041
remove_outliers_none + features_selection_rfe + oversampling_none,0.9609507640067911,0.966044142614601,0.9060554612337295,0.9643463497453311,0.9490662139219015,0.9247311827956989,0.958687040181098,
remove_outliers_none + features_selection_rfe + oversampling_smote,0.944538766270515,0.9451046972269384,0.8981324278438031,0.9428409734012451,0.933786078098472,0.9383135257498585,0.9411431805319751,
remove_outliers_none + features_selection_rfe + oversampling_svm_smote,0.9411431805319751,0.9383135257498585,0.876627051499717,0.9219015280135824,0.8998302207130731,0.9111488398415394,0.9383135257498585,
remove_outliers_none + features_selection_rfe + oversampling_adasyn,0.9320882852292021,0.933786078098472,0.8466327108092813,0.9207696661007357,0.9054895302773062,0.9134125636672326,0.9349179400113187,
remove_outliers_none + features_selection_rfe + oversampling_smote_borderline,0.9247311827956989,0.9326542161856254,0.8749292586304471,0.9320882852292021,0.8851160158460668,0.9043576683644595,0.9326542161856254,
remove_outliers_none + features_selection_variance_threshold + oversampling_none,0.9558573853989814,0.9377475947934352,0.8868138087153368,0.9581211092246746,0.955291454442558,0.8754951895868704,0.9524617996604414,
remove_outliers_none + features_selection_variance_threshold + oversampling_smote,0.9422750424448217,0.9377475947934352,0.8760611205432938,0.946236559139785,0.9117147707979627,0.8726655348047538,0.9405772495755518,
remove_outliers_none + features_selection_variance_threshold + oversampling_svm_smote,0.9309564233163554,0.9298245614035088,0.8704018109790606,0.9366157328805885,0.9043576683644595,0.8851160158460668,0.9326542161856254,
remove_outliers_none + features_selection_variance_threshold + oversampling_adasyn,0.9219015280135824,0.9173740803621958,0.8794567062818336,0.9343520090548953,0.8902093944538766,0.853423882286361,0.9411431805319751,
remove_outliers_none + features_selection_variance_threshold + oversampling_smote_borderline,0.9354838709677419,0.9049235993208828,0.8732314657611772,0.9298245614035088,0.8822863610639502,0.8455008488964346,0.9320882852292021,
remove_outliers_isolation_forest + features_selection_none + oversampling_none,0.9564233163554047,0.9349179400113187,0.9060554612337295,0.9564233163554047,0.9592529711375212,0.8607809847198642,0.9468024900962083,
remove_outliers_isolation_forest + features_selection_none + oversampling_smote,0.9179400113186191,0.923033389926429,0.8239954725523486,0.9411431805319751,0.9105829088851161,0.8047538200339559,0.9439728353140917,
remove_outliers_isolation_forest + features_selection_none + oversampling_svm_smote,0.9281267685342388,0.9394453876627051,0.8477645727221279,0.9366157328805885,0.9213355970571591,0.8217317487266553,0.9468024900962083,
remove_outliers_isolation_forest + features_selection_none + oversampling_adasyn,0.9111488398415394,0.9054895302773062,0.8641765704584041,0.9366157328805885,0.9026598754951896,0.7894736842105263,0.9360498019241652,
remove_outliers_isolation_forest + features_selection_none + oversampling_smote_borderline,0.9003961516694963,0.9281267685342388,0.8392756083757782,0.9394453876627051,0.8930390492359932,0.7894736842105263,0.9320882852292021,
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_none,0.9422750424448217,0.9434069043576684,0.8754951895868704,0.9513299377475948,0.9405772495755518,0.9383135257498585,0.9286926994906621,0.955291454442558
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote,0.9219015280135824,0.9326542161856254,0.8624787775891342,0.9258630447085455,0.9179400113186191,0.9417091114883984,0.9066213921901528,0.9281267685342388
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_svm_smote,0.9252971137521222,0.9151103565365025,0.8664402942840973,0.9054895302773062,0.8992642897566497,0.9320882852292021,0.9066213921901528,0.9088851160158461
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_adasyn,0.8885116015846066,0.9134125636672326,0.8670062252405206,0.8975664968873798,0.9020939445387662,0.9292586304470855,0.8964346349745331,0.853423882286361
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote_borderline,0.8907753254102999,0.844368986983588,0.8517260894170912,0.8958687040181098,0.876627051499717,0.9286926994906621,0.8885116015846066,0.8556876061120543
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_none,0.9490662139219015,0.9620826259196378,0.8862478777589134,0.9615166949632145,0.9439728353140917,0.9077532541029995,0.9439728353140917,0.956989247311828
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote,0.9049235993208828,0.9026598754951896,0.8573853989813243,0.9026598754951896,0.9162422184493492,0.9371816638370118,0.9179400113186191,0.9094510469722694
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_svm_smote,0.9298245614035088,0.9066213921901528,0.8737973967176005,0.9377475947934352,0.8953027730616865,0.9292586304470855,0.9349179400113187,0.8851160158460668
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_adasyn,0.9020939445387662,0.8805885681946802,0.8636106395019808,0.8919071873231466,0.8907753254102999,0.8992642897566497,0.9094510469722694,0.865874363327674
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote_borderline,0.9151103565365025,0.9083191850594228,0.8653084323712507,0.8851160158460668,0.8687040181097906,0.8953027730616865,0.9190718732314658,0.865874363327674
remove_outliers_isolation_forest + features_selection_rfe + oversampling_none,0.9422750424448217,0.9575551782682513,0.8511601584606678,0.9603848330503678,0.9530277306168647,0.9026598754951896,0.9496321448783248,
remove_outliers_isolation_forest + features_selection_rfe + oversampling_smote,0.9405772495755518,0.9371816638370118,0.8822863610639502,0.9518958687040181,0.8930390492359932,0.9043576683644595,0.9428409734012451,
remove_outliers_isolation_forest + features_selection_rfe + oversampling_svm_smote,0.9224674589700057,0.9349179400113187,0.8375778155065082,0.9269949066213922,0.9088851160158461,0.9032258064516129,0.9309564233163554,
remove_outliers_isolation_forest + features_selection_rfe + oversampling_adasyn,0.9196378041878891,0.9309564233163554,0.8404074702886248,0.9281267685342388,0.8834182229767968,0.8675721561969439,0.9303904923599321,
remove_outliers_isolation_forest + features_selection_rfe + oversampling_smote_borderline,0.9179400113186191,0.9100169779286927,0.8222976796830787,0.9264289756649688,0.8737973967176005,0.8811544991511036,0.9332201471420487,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_none,0.9592529711375212,0.9371816638370118,0.8834182229767968,0.9615166949632145,0.9626485568760611,0.8647425014148273,0.9541595925297114,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote,0.933786078098472,0.9400113186191285,0.8528579513299378,0.946236559139785,0.9258630447085455,0.8715336728919072,0.9473684210526315,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_svm_smote,0.9049235993208828,0.9354838709677419,0.8432371250707413,0.9332201471420487,0.9043576683644595,0.822863610639502,0.9303904923599321,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_adasyn,0.9196378041878891,0.9156762874929258,0.8375778155065082,0.9371816638370118,0.9003961516694963,0.8239954725523486,0.9417091114883984,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote_borderline,0.9049235993208828,0.9303904923599321,0.8624787775891342,0.9383135257498585,0.8811544991511036,0.8160724391624222,0.9383135257498585,
remove_outliers_zscore + features_selection_none + oversampling_none,0.956989247311828,0.9490662139219015,0.9049235993208828,0.9632144878324844,0.9439728353140917,0.7945670628183361,0.9575551782682513,
remove_outliers_zscore + features_selection_none + oversampling_smote,0.9479343520090548,0.9332201471420487,0.8845500848896435,0.9518958687040181,0.9252971137521222,0.8517260894170912,0.9530277306168647,
remove_outliers_zscore + features_selection_none + oversampling_svm_smote,0.9473684210526315,0.9156762874929258,0.8517260894170912,0.9383135257498585,0.9026598754951896,0.7826825127334465,0.9428409734012451,
remove_outliers_zscore + features_selection_none + oversampling_adasyn,0.9326542161856254,0.9179400113186191,0.8924731182795699,0.9383135257498585,0.8975664968873798,0.8222976796830787,0.9451046972269384,
remove_outliers_zscore + features_selection_none + oversampling_smote_borderline,0.9332201471420487,0.9122807017543859,0.8873797396717601,0.9360498019241652,0.9043576683644595,0.7962648556876061,0.9422750424448217,
remove_outliers_zscore + features_selection_extratrees + oversampling_none,0.9513299377475948,0.9541595925297114,0.9094510469722694,0.946236559139785,0.9513299377475948,0.9360498019241652,0.9366157328805885,0.9711375212224108
remove_outliers_zscore + features_selection_extratrees + oversampling_smote,0.9394453876627051,0.9151103565365025,0.8902093944538766,0.9168081494057725,0.9241652518392756,0.9383135257498585,0.9241652518392756,0.9298245614035088
remove_outliers_zscore + features_selection_extratrees + oversampling_svm_smote,0.9219015280135824,0.9139784946236559,0.8953027730616865,0.9066213921901528,0.9060554612337295,0.9252971137521222,0.9207696661007357,0.9235993208828522
remove_outliers_zscore + features_selection_extratrees + oversampling_adasyn,0.9026598754951896,0.9015280135823429,0.8737973967176005,0.8992642897566497,0.9071873231465761,0.9366157328805885,0.8998302207130731,0.8856819468024901
remove_outliers_zscore + features_selection_extratrees + oversampling_smote_borderline,0.9145444255800792,0.8777589134125636,0.8970005659309565,0.8788907753254103,0.8687040181097906,0.9235993208828522,0.9162422184493492,0.8924731182795699
remove_outliers_zscore + features_selection_mutual_information + oversampling_none,0.956989247311828,0.9598189020939445,0.8924731182795699,0.966044142614601,0.9615166949632145,0.9111488398415394,0.9541595925297114,0.9530277306168647
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote,0.9332201471420487,0.9507640067911715,0.8726655348047538,0.9054895302773062,0.9252971137521222,0.9303904923599321,0.9309564233163554,0.9202037351443124
remove_outliers_zscore + features_selection_mutual_information + oversampling_svm_smote,0.9479343520090548,0.9496321448783248,0.9168081494057725,0.9473684210526315,0.8941709111488398,0.9434069043576684,0.9490662139219015,0.9219015280135824
remove_outliers_zscore + features_selection_mutual_information + oversampling_adasyn,0.9366157328805885,0.9264289756649688,0.8981324278438031,0.9428409734012451,0.8879456706281834,0.9111488398415394,0.9417091114883984,0.8896434634974533
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote_borderline,0.9247311827956989,0.9298245614035088,0.8873797396717601,0.9173740803621958,0.9083191850594228,0.8919071873231466,0.9281267685342388,0.8907753254102999
remove_outliers_zscore + features_selection_rfe + oversampling_none,0.9581211092246746,0.9394453876627051,0.9071873231465761,0.9603848330503678,0.9247311827956989,0.9100169779286927,0.9524617996604414,
remove_outliers_zscore + features_selection_rfe + oversampling_smote,0.9377475947934352,0.9235993208828522,0.9173740803621958,0.9541595925297114,0.9190718732314658,0.9202037351443124,0.9434069043576684,
remove_outliers_zscore + features_selection_rfe + oversampling_svm_smote,0.9490662139219015,0.9309564233163554,0.8930390492359932,0.9343520090548953,0.9003961516694963,0.9060554612337295,0.9451046972269384,
remove_outliers_zscore + features_selection_rfe + oversampling_adasyn,0.9264289756649688,0.9366157328805885,0.9003961516694963,0.9360498019241652,0.8970005659309565,0.9088851160158461,0.9354838709677419,
remove_outliers_zscore + features_selection_rfe + oversampling_smote_borderline,0.9383135257498585,0.9286926994906621,0.8913412563667232,0.946236559139785,0.8885116015846066,0.9066213921901528,0.9371816638370118,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_none,0.9575551782682513,0.9235993208828522,0.8998302207130731,0.9609507640067911,0.9439728353140917,0.7945670628183361,0.9575551782682513,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_smote,0.946236559139785,0.9190718732314658,0.8556876061120543,0.9496321448783248,0.9128466327108092,0.8313525749858517,0.9479343520090548,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_svm_smote,0.9303904923599321,0.9451046972269384,0.8975664968873798,0.933786078098472,0.9117147707979627,0.797962648556876,0.9501980758347481,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_adasyn,0.9411431805319751,0.9264289756649688,0.8822863610639502,0.9400113186191285,0.9003961516694963,0.8075834748160724,0.9456706281833617,
remove_outliers_zscore + features_selection_variance_threshold + oversampling_smote_borderline,0.9411431805319751,0.9417091114883984,0.8754951895868704,0.9354838709677419,0.8981324278438031,0.7962648556876061,0.9507640067911715,
remove_outliers_iqr + features_selection_none + oversampling_none,0.9603848330503678,0.9818902093944539,0.9151103565365025,0.9281267685342388,1.0,0.767402376910017,0.956989247311828,
remove_outliers_iqr + features_selection_none + oversampling_smote,0.9354838709677419,0.8500282965478212,0.8505942275042445,0.8409734012450482,0.8675721561969439,0.8421052631578947,0.9303904923599321,
remove_outliers_iqr + features_selection_none + oversampling_svm_smote,0.9451046972269384,0.9111488398415394,0.8415393322014714,0.9015280135823429,0.8754951895868704,0.8573853989813243,0.9349179400113187,
remove_outliers_iqr + features_selection_none + oversampling_adasyn,0.9371816638370118,0.8687040181097906,0.8692699490662139,0.8217317487266553,0.8562535370684776,0.8296547821165817,0.9196378041878891,
remove_outliers_iqr + features_selection_none + oversampling_smote_borderline,0.9468024900962083,0.8941709111488398,0.8879456706281834,0.8743633276740238,0.8681380871533673,0.8811544991511036,0.9303904923599321,
remove_outliers_iqr + features_selection_extratrees + oversampling_none,0.9581211092246746,0.9688737973967176,0.9003961516694963,0.9615166949632145,1.0,0.7747594793435201,0.9654782116581777,0.976796830786644
remove_outliers_iqr + features_selection_extratrees + oversampling_smote,0.9411431805319751,0.9139784946236559,0.9094510469722694,0.8720996038483305,0.9026598754951896,0.812110922467459,0.9400113186191285,0.7894736842105263
remove_outliers_iqr + features_selection_extratrees + oversampling_svm_smote,0.9326542161856254,0.9026598754951896,0.9196378041878891,0.8896434634974533,0.9258630447085455,0.8596491228070176,0.9298245614035088,0.8256932654216186
remove_outliers_iqr + features_selection_extratrees + oversampling_adasyn,0.9349179400113187,0.9077532541029995,0.8709677419354839,0.8726655348047538,0.8919071873231466,0.7809847198641766,0.9122807017543859,0.7741935483870968
remove_outliers_iqr + features_selection_extratrees + oversampling_smote_borderline,0.9094510469722694,0.9190718732314658,0.8941709111488398,0.8970005659309565,0.9032258064516129,0.8273910582908885,0.9185059422750425,0.7940011318619129
remove_outliers_iqr + features_selection_mutual_information + oversampling_none,0.9581211092246746,0.9343520090548953,0.9501980758347481,0.9377475947934352,0.9988681380871534,0.7951329937747594,0.9649122807017544,0.9920769666100736
remove_outliers_iqr + features_selection_mutual_information + oversampling_smote,0.9043576683644595,0.8358800226372383,0.8381437464629315,0.855121675155631,0.8794567062818336,0.7419354838709677,0.8902093944538766,0.7985285795132994
remove_outliers_iqr + features_selection_mutual_information + oversampling_svm_smote,0.9088851160158461,0.8851160158460668,0.8647425014148273,0.8726655348047538,0.8919071873231466,0.8500282965478212,0.8879456706281834,0.8986983588002264
remove_outliers_iqr + features_selection_mutual_information + oversampling_adasyn,0.9117147707979627,0.8341822297679683,0.8347481607243916,0.8432371250707413,0.9207696661007357,0.8081494057724957,0.9077532541029995,0.8256932654216186
remove_outliers_iqr + features_selection_mutual_information + oversampling_smote_borderline,0.9411431805319751,0.8754951895868704,0.8370118845500849,0.8438030560271647,0.7973967176004527,0.842671194114318,0.9105829088851161,0.7826825127334465
remove_outliers_iqr + features_selection_rfe + oversampling_none,0.9575551782682513,0.9213355970571591,0.8771929824561403,0.9224674589700057,1.0,0.7498585172608941,0.9518958687040181,
remove_outliers_iqr + features_selection_rfe + oversampling_smote,0.9286926994906621,0.8630447085455575,0.8800226372382569,0.8573853989813243,0.8726655348047538,0.844368986983588,0.9207696661007357,
remove_outliers_iqr + features_selection_rfe + oversampling_svm_smote,0.9411431805319751,0.9179400113186191,0.8924731182795699,0.9043576683644595,0.9190718732314658,0.8613469156762875,0.9320882852292021,
remove_outliers_iqr + features_selection_rfe + oversampling_adasyn,0.9292586304470855,0.8268251273344652,0.8619128466327108,0.8296547821165817,0.8636106395019808,0.8126768534238823,0.9185059422750425,
remove_outliers_iqr + features_selection_rfe + oversampling_smote_borderline,0.9303904923599321,0.8907753254102999,0.8845500848896435,0.8845500848896435,0.8771929824561403,0.8579513299377476,0.9252971137521222,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_none,0.9609507640067911,0.9592529711375212,0.8760611205432938,0.9224674589700057,1.0,0.767402376910017,0.956989247311828,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_smote,0.9422750424448217,0.7917374080362196,0.8851160158460668,0.8670062252405206,0.8879456706281834,0.8409734012450482,0.9202037351443124,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_svm_smote,0.9496321448783248,0.9066213921901528,0.9066213921901528,0.8924731182795699,0.9088851160158461,0.8760611205432938,0.9422750424448217,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_adasyn,0.9490662139219015,0.8573853989813243,0.8313525749858517,0.8607809847198642,0.8805885681946802,0.8279569892473119,0.9139784946236559,
remove_outliers_iqr + features_selection_variance_threshold + oversampling_smote_borderline,0.9473684210526315,0.88907753254103,0.8477645727221279,0.8834182229767968,0.8539898132427843,0.876627051499717,0.9292586304470855,
remove_outliers_lof + features_selection_none + oversampling_none,0.9547255234861347,0.9496321448783248,0.8902093944538766,0.9603848330503678,0.9564233163554047,0.8545557441992077,0.9501980758347481,
remove_outliers_lof + features_selection_none + oversampling_smote,0.9377475947934352,0.9088851160158461,0.8788907753254103,0.9428409734012451,0.9111488398415394,0.8800226372382569,0.9507640067911715,
remove_outliers_lof + features_selection_none + oversampling_svm_smote,0.9332201471420487,0.9077532541029995,0.8392756083757782,0.9326542161856254,0.8964346349745331,0.8477645727221279,0.9383135257498585,
remove_outliers_lof + features_selection_none + oversampling_adasyn,0.9269949066213922,0.9083191850594228,0.8471986417657046,0.9349179400113187,0.8919071873231466,0.8404074702886248,0.9417091114883984,
remove_outliers_lof + features_selection_none + oversampling_smote_borderline,0.9190718732314658,0.9264289756649688,0.8415393322014714,0.9400113186191285,0.8924731182795699,0.8681380871533673,0.9320882852292021,
remove_outliers_lof + features_selection_extratrees + oversampling_none,0.9405772495755518,0.9518958687040181,0.8862478777589134,0.9485002829654782,0.9547255234861347,0.9326542161856254,0.9202037351443124,0.9490662139219015
remove_outliers_lof + features_selection_extratrees + oversampling_smote,0.9366157328805885,0.9224674589700057,0.8771929824561403,0.9264289756649688,0.933786078098472,0.9388794567062818,0.9105829088851161,0.9117147707979627
remove_outliers_lof + features_selection_extratrees + oversampling_svm_smote,0.9202037351443124,0.9258630447085455,0.8845500848896435,0.9139784946236559,0.9077532541029995,0.9258630447085455,0.9105829088851161,0.8970005659309565
remove_outliers_lof + features_selection_extratrees + oversampling_adasyn,0.8868138087153368,0.8879456706281834,0.8545557441992077,0.9139784946236559,0.9077532541029995,0.9349179400113187,0.8732314657611772,0.8556876061120543
remove_outliers_lof + features_selection_extratrees + oversampling_smote_borderline,0.8981324278438031,0.8653084323712507,0.8602150537634409,0.9049235993208828,0.8811544991511036,0.9213355970571591,0.8930390492359932,0.8585172608941709
remove_outliers_lof + features_selection_mutual_information + oversampling_none,0.9485002829654782,0.9637804187889077,0.8664402942840973,0.9649122807017544,0.9479343520090548,0.9349179400113187,0.9456706281833617,0.944538766270515
remove_outliers_lof + features_selection_mutual_information + oversampling_smote,0.9422750424448217,0.9507640067911715,0.8760611205432938,0.9496321448783248,0.9247311827956989,0.9405772495755518,0.9394453876627051,0.9003961516694963
remove_outliers_lof + features_selection_mutual_information + oversampling_svm_smote,0.9235993208828522,0.9066213921901528,0.8341822297679683,0.8992642897566497,0.9077532541029995,0.9388794567062818,0.9258630447085455,0.9066213921901528
remove_outliers_lof + features_selection_mutual_information + oversampling_adasyn,0.9168081494057725,0.9292586304470855,0.8556876061120543,0.8907753254102999,0.88907753254103,0.8998302207130731,0.9235993208828522,0.8602150537634409
remove_outliers_lof + features_selection_mutual_information + oversampling_smote_borderline,0.9173740803621958,0.9241652518392756,0.8245614035087719,0.8811544991511036,0.8653084323712507,0.8924731182795699,0.9168081494057725,0.8585172608941709
remove_outliers_lof + features_selection_rfe + oversampling_none,0.9456706281833617,0.9637804187889077,0.876627051499717,0.9637804187889077,0.9485002829654782,0.9100169779286927,0.9501980758347481,
remove_outliers_lof + features_selection_rfe + oversampling_smote,0.9451046972269384,0.9501980758347481,0.855121675155631,0.9564233163554047,0.9117147707979627,0.9298245614035088,0.9501980758347481,
remove_outliers_lof + features_selection_rfe + oversampling_svm_smote,0.9434069043576684,0.9592529711375212,0.88907753254103,0.9360498019241652,0.9020939445387662,0.9122807017543859,0.9400113186191285,
remove_outliers_lof + features_selection_rfe + oversampling_adasyn,0.9326542161856254,0.946236559139785,0.8353140916808149,0.9292586304470855,0.8885116015846066,0.9003961516694963,0.9292586304470855,
remove_outliers_lof + features_selection_rfe + oversampling_smote_borderline,0.933786078098472,0.9303904923599321,0.8539898132427843,0.9388794567062818,0.8851160158460668,0.9009620826259196,0.9366157328805885,
remove_outliers_lof + features_selection_variance_threshold + oversampling_none,0.9513299377475948,0.944538766270515,0.8862478777589134,0.9603848330503678,0.9564233163554047,0.8545557441992077,0.9501980758347481,
remove_outliers_lof + features_selection_variance_threshold + oversampling_smote,0.9309564233163554,0.923033389926429,0.8704018109790606,0.9377475947934352,0.9128466327108092,0.8732314657611772,0.9468024900962083,
remove_outliers_lof + features_selection_variance_threshold + oversampling_svm_smote,0.9377475947934352,0.9185059422750425,0.8675721561969439,0.933786078098472,0.8941709111488398,0.8653084323712507,0.9434069043576684,
remove_outliers_lof + features_selection_variance_threshold + oversampling_adasyn,0.9247311827956989,0.9134125636672326,0.8732314657611772,0.9343520090548953,0.8879456706281834,0.8341822297679683,0.9394453876627051,
remove_outliers_lof + features_selection_variance_threshold + oversampling_smote_borderline,0.9286926994906621,0.9286926994906621,0.8732314657611772,0.9417091114883984,0.8845500848896435,0.8415393322014714,0.9417091114883984,
remove_outliers_dbscan + features_selection_none + oversampling_none,,,,,,,0.0,
